Campanha,Status de veiculação,Resultados,Alcance,Impressões,Custo por resultado,Classificação de qualidade,Valor usado (BRL),Frequência,Cliques no link,CPC (custo por clique no link),Cliques no link únicos,CTR único (taxa de cliques no link),Custo por clique único (todos),Cadastros,Custo por cadastro,Início dos relatórios,Término dos relatórios
2023-AGOSTO-2,completed,581886.0,581886,583375,1.72,–,1000.0,1.00255892,199.0,5.02512563,195.0,0.03351172,2.57731959,,,2023-06-01,2023-11-30
2023-AGOSTO-3,inactive,581886.0,581886,583375,1.72,–,1000.0,1.00255892,199.0,5.02512563,195.0,0.03351172,2.57731959,,,2023-06-01,2023-11-30
2023-AGOSTO-4,completed,581761.0,581761,595943,1.72,–,1000.0,1.02437771,577.0,1.73310225,576.0,0.09900973,1.42857143,,,2023-06-01,2023-11-30
2023-AGOSTO-5,inactive,581761.0,581761,595943,1.72,–,1000.0,1.02437771,577.0,1.73310225,576.0,0.09900973,1.42857143,,,2023-06-01,2023-11-30
2023-AGOSTO-6,completed,344837.0,344837,356193,1.74,–,600.0,1.0329315,1.0,600.0,1.0,0.00028999,0.56710775,,,2023-06-01,2023-11-30
2023-AGOSTO-7,inactive,344837.0,344837,356193,1.74,–,600.0,1.0329315,1.0,600.0,1.0,0.00028999,0.56710775,,,2023-06-01,2023-11-30
2023-AGOSTO-8,completed,240516.0,240516,249527,2.25,–,540.0,1.03746528,1.0,540.0,1.0,0.00041577,0.84507042,,,2023-06-01,2023-11-30
2023-AGOSTO-9,inactive,240516.0,240516,249527,2.25,–,540.0,1.03746528,1.0,540.0,1.0,0.00041577,0.84507042,,,2023-06-01,2023-11-30
2023-AGOSTO-10,completed,385989.0,385989,394556,1.4,–,540.0,1.02219493,301.0,1.79401993,301.0,0.0779815,1.36363636,,,2023-06-01,2023-11-30
2023-AGOSTO-11,inactive,385989.0,385989,394556,1.4,–,540.0,1.02219493,301.0,1.79401993,301.0,0.0779815,1.36363636,,,2023-06-01,2023-11-30
2023-AGOSTO-12,completed,270847.0,270847,281801,1.85,–,500.0,1.0404435,3.0,166.66666667,3.0,0.00110764,0.66489362,,,2023-06-01,2023-11-30
2023-AGOSTO-13,inactive,270847.0,270847,281801,1.85,–,500.0,1.0404435,3.0,166.66666667,3.0,0.00110764,0.66489362,,,2023-06-01,2023-11-30
2023-AGOSTO-14,completed,148097.0,148097,153169,3.38,–,500.0,1.03424782,19.0,26.31578947,19.0,0.01282943,9.09090909,,,2023-06-01,2023-11-30
2023-AGOSTO-15,inactive,148097.0,148097,153169,3.38,–,500.0,1.03424782,19.0,26.31578947,19.0,0.01282943,9.09090909,,,2023-06-01,2023-11-30
2023-AGOSTO-16,completed,173406.0,173406,177632,2.88,–,500.0,1.02437055,27.0,18.51851852,26.0,0.01499371,6.66666667,,,2023-06-01,2023-11-30
2023-AGOSTO-17,inactive,173406.0,173406,177632,2.88,–,500.0,1.02437055,27.0,18.51851852,26.0,0.01499371,6.66666667,,,2023-06-01,2023-11-30
2023-AGOSTO-18,completed,355456.0,355456,360684,1.41,–,500.0,1.01470787,277.0,1.80505415,277.0,0.07792807,1.44092219,,,2023-06-01,2023-11-30
2023-AGOSTO-19,inactive,355456.0,355456,360684,1.41,–,500.0,1.01470787,277.0,1.80505415,277.0,0.07792807,1.44092219,,,2023-06-01,2023-11-30
2023-AGOSTO-20,completed,321152.0,321152,333339,1.56,–,500.0,1.03794776,231.0,2.16450216,231.0,0.07192856,1.77304965,,,2023-06-01,2023-11-30
2023-AGOSTO-21,inactive,321152.0,321152,333339,1.56,–,500.0,1.03794776,231.0,2.16450216,231.0,0.07192856,1.77304965,,,2023-06-01,2023-11-30
2023-AGOSTO-22,completed,432129.0,432129,439387,1.16,–,500.0,1.01679591,254.0,1.96850394,252.0,0.05831592,1.44927536,,,2023-06-01,2023-11-30
2023-AGOSTO-23,inactive,432129.0,432129,439387,1.16,–,500.0,1.01679591,254.0,1.96850394,252.0,0.05831592,1.44927536,,,2023-06-01,2023-11-30
2023-AGOSTO-24,completed,264512.0,264512,271216,1.51,–,400.0,1.02534479,144.0,2.77777778,144.0,0.05443987,2.25988701,,,2023-06-01,2023-11-30
2023-AGOSTO-25,inactive,264512.0,264512,271216,1.51,–,400.0,1.02534479,144.0,2.77777778,144.0,0.05443987,2.25988701,,,2023-06-01,2023-11-30
2023-AGOSTO-26,completed,194593.0,194593,203814,1.85,–,360.0,1.04738608,3.0,120.0,3.0,0.00154168,0.96,,,2023-06-01,2023-11-30
2023-AGOSTO-27,inactive,194593.0,194593,203814,1.85,–,360.0,1.04738608,3.0,120.0,3.0,0.00154168,0.96,,,2023-06-01,2023-11-30
2023-AGOSTO-28,completed,162560.0,162560,167708,1.85,–,300.0,1.03166831,,,,,0.77319588,,,2023-06-01,2023-11-30
2023-AGOSTO-29,inactive,162560.0,162560,167708,1.85,–,300.0,1.03166831,,,,,0.77319588,,,2023-06-01,2023-11-30
2023-AGOSTO-30,completed,207743.0,207743,213095,1.44,–,300.0,1.0257626,,,,,0.50083472,,,2023-06-01,2023-11-30
2023-AGOSTO-31,inactive,207743.0,207743,213095,1.44,–,300.0,1.0257626,,,,,0.50083472,,,2023-06-01,2023-11-30
2023-AGOSTO-32,completed,156736.0,156736,162938,1.91,–,300.0,1.03956972,,,,,0.99667774,,,2023-06-01,2023-11-30
2023-AGOSTO-33,inactive,156736.0,156736,162938,1.91,–,300.0,1.03956972,,,,,0.99667774,,,2023-06-01,2023-11-30
2023-AGOSTO-34,completed,268992.0,268992,269639,1.12,–,300.0,1.00240528,177.0,1.69491525,177.0,0.06580121,1.31578947,,,2023-06-01,2023-11-30
2023-AGOSTO-35,inactive,268992.0,268992,269639,1.12,–,300.0,1.00240528,177.0,1.69491525,177.0,0.06580121,1.31578947,,,2023-06-01,2023-11-30
2023-AGOSTO-36,completed,179999.0,179999,181750,1.11,–,200.0,1.00972783,74.0,2.7027027,74.0,0.04111134,2.10526316,,,2023-06-01,2023-11-30
2023-AGOSTO-37,inactive,179999.0,179999,181750,1.11,–,200.0,1.00972783,74.0,2.7027027,74.0,0.04111134,2.10526316,,,2023-06-01,2023-11-30
2023-AGOSTO-38,completed,131039.0,131039,134054,1.53,–,200.0,1.02300842,,,,,0.70422535,,,2023-06-01,2023-11-30
2023-AGOSTO-39,inactive,131039.0,131039,134054,1.53,–,200.0,1.02300842,,,,,0.70422535,,,2023-06-01,2023-11-30
2023-OUTUBRO-1,completed,1536683.0,1536683,4307784,5.86,–,8999.86,2.80330036,2392.0,3.76248328,2374.0,0.1544886,1.35580898,,,2023-06-01,2023-11-30
2023-OUTUBRO-2,completed,282301.0,282301,287183,3.54,–,1000.0,1.0172936,396.0,2.52525253,393.0,0.13921311,1.94174757,,,2023-06-01,2023-11-30
2023-OUTUBRO-3,inactive,282301.0,282301,287183,3.54,Abaixo da média – 10% mais baixos dos anúncios,1000.0,1.0172936,396.0,2.52525253,393.0,0.13921311,1.94174757,,,2023-06-01,2023-11-30
2023-OUTUBRO-4,completed,486902.0,486902,493350,2.05,–,1000.0,1.01324291,292.0,3.42465753,291.0,0.05976562,2.43309002,,,2023-06-01,2023-11-30
2023-OUTUBRO-5,inactive,486902.0,486902,493350,2.05,Acima da média,1000.0,1.01324291,292.0,3.42465753,291.0,0.05976562,2.43309002,,,2023-06-01,2023-11-30
